Word;Samanta;Meduza;Column1
72-______;0;1;0,000217723
_;28;5;0,007184847
_______;1;0;0,000217723
______;0;1;0,000217723
__________;0;1;0,000217723
______;0;2;0,000435445
________;1;0;0,000217723
_______;1;0;0,000217723
_______;0;1;0,000217723
_____________;0;1;0,000217723
________;0;1;0,000217723
_____________;1;0;0,000217723
_____;0;2;0,000435445
______;0;1;0,000217723
_____;0;1;0,000217723
___________;1;0;0,000217723
_______;0;2;0,000435445
___________;0;1;0,000217723
__________;1;0;0,000217723
_____;0;1;0,000217723
______;0;1;0,000217723
______;0;1;0,000217723
____;0;1;0,000217723
________;0;1;0,000217723
__________;0;1;0,000217723
______;0;1;0,000217723
_____;0;1;0,000217723
_____;0;2;0,000435445
_________;0;2;0,000435445
____________;0;1;0,000217723
__________;0;1;0,000217723
________;1;0;0,000217723
______;0;1;0,000217723
___;1;0;0,000217723
____________;1;0;0,000217723
_____;1;0;0,000217723
_________;1;0;0,000217723
_________;1;0;0,000217723
___________;0;1;0,000217723
__________;0;1;0,000217723
________;0;1;0,000217723
____________;0;1;0,000217723
________;0;1;0,000217723
______________;0;1;0,000217723
_______;1;0;0,000217723
_________;0;1;0,000217723
________;0;2;0,000435445
__________;0;1;0,000217723
______;0;1;0,000217723
_;1;0;0,000217723
____;1;0;0,000217723
_____;1;0;0,000217723
_____;1;0;0,000217723
________;1;0;0,000217723
_________;1;0;0,000217723
____;1;0;0,000217723
____;5;0;0,001088613
________;0;1;0,000217723
_________;0;1;0,000217723
_____;0;1;0,000217723
____;0;1;0,000217723
______;0;1;0,000217723
_____;0;2;0,000435445
______;0;1;0,000217723
___;1;0;0,000217723
_________;0;1;0,000217723
_________;0;1;0,000217723
________;0;1;0,000217723
________;0;1;0,000217723
_________;0;1;0,000217723
___;3;2;0,001088613
____________;1;0;0,000217723
__________-_________;1;0;0,000217723
____________;0;1;0,000217723
_____;0;1;0,000217723
_____;1;0;0,000217723
_____;1;0;0,000217723
______;0;1;0,000217723
_______;1;0;0,000217723
______;1;0;0,000217723
______;1;0;0,000217723
_____;1;0;0,000217723
__________;1;0;0,000217723
______________;0;1;0,000217723
_________;1;0;0,000217723
__________;0;1;0,000217723
_____;1;0;0,000217723
______-___________;0;1;0,000217723
______-____;1;0;0,000217723
_______;0;1;0,000217723
________;0;1;0,000217723
______;0;1;0,000217723
__________;0;1;0,000217723
___________;1;0;0,000217723
_____________;0;1;0,000217723
_________;0;1;0,000217723
___________;1;0;0,000217723
____________________;1;0;0,000217723
__________;0;1;0,000217723
________;4;0;0,00087089
___________;0;1;0,000217723
___;1;0;0,000217723
_____;1;0;0,000217723
_____;3;0;0,000653168
________;0;2;0,000435445
_______;1;0;0,000217723
______;0;2;0,000435445
__________;0;1;0,000217723
__________;0;1;0,000217723
_____;0;4;0,00087089
___________;1;0;0,000217723
_______;1;0;0,000217723
____;0;1;0,000217723
______;0;4;0,00087089
_______;1;0;0,000217723
_______;0;1;0,000217723
___________;0;1;0,000217723
_____;0;1;0,000217723
__________;0;1;0,000217723
___________;0;1;0,000217723
______;0;1;0,000217723
__________;0;1;0,000217723
_____;0;1;0,000217723
_____;1;4;0,001088613
______;1;0;0,000217723
_____;2;0;0,000435445
____;1;0;0,000217723
_____;0;3;0,000653168
_________;0;1;0,000217723
_______;0;1;0,000217723
_____;1;0;0,000217723
_____;1;0;0,000217723
_______;1;0;0,000217723
_______;1;0;0,000217723
______;1;0;0,000217723
_____;1;0;0,000217723
__;6;1;0,001524058
_______;1;0;0,000217723
______;1;0;0,000217723
______;2;2;0,00087089
______;1;0;0,000217723
___;0;1;0,000217723
____;3;1;0,00087089
____;1;0;0,000217723
____;6;1;0,001524058
______;1;0;0,000217723
____;14;1;0,003265839
____;0;1;0,000217723
_;53;91;0,031352057
_______;0;1;0,000217723
________;2;0;0,000435445
__________;1;0;0,000217723
___;3;0;0,000653168
___;1;3;0,00087089
___;1;0;0,000217723
___;1;0;0,000217723
____;1;0;0,000217723
______;1;0;0,000217723
_____;1;0;0,000217723
____;1;0;0,000217723
______;1;0;0,000217723
____;0;1;0,000217723
_____;1;0;0,000217723
_______;1;0;0,000217723
_____;1;0;0,000217723
__________;0;1;0,000217723
___________;0;1;0,000217723
__________;1;0;0,000217723
______;0;1;0,000217723
_________;2;0;0,000435445
_____;1;0;0,000217723
______..;1;0;0,000217723
____;4;0;0,00087089
____;2;0;0,000435445
_____;1;0;0,000217723
_____;0;1;0,000217723
_____;3;0;0,000653168
_______;1;0;0,000217723
_______;0;1;0,000217723
_______;0;1;0,000217723
____;2;0;0,000435445
______;0;1;0,000217723
_____________;0;1;0,000217723
________;0;1;0,000217723
_______;0;1;0,000217723
_____;2;0;0,000435445
____;1;0;0,000217723
_____;1;0;0,000217723
_____;0;1;0,000217723
_____________;0;2;0,000435445
________________;0;1;0,000217723
______;1;0;0,000217723
______;2;0;0,000435445
_________;1;0;0,000217723
_______;0;1;0,000217723
________;1;0;0,000217723
____;1;0;0,000217723
_______;1;0;0,000217723
____;2;0;0,000435445
______;1;0;0,000217723
_________;2;0;0,000435445
___________;0;1;0,000217723
___;0;1;0,000217723
_______;1;0;0,000217723
_________;1;0;0,000217723
_______;0;1;0,000217723
______;1;0;0,000217723
________;0;1;0,000217723
______;0;2;0,000435445
_________;1;0;0,000217723
__________;1;0;0,000217723
________;1;0;0,000217723
___________;0;1;0,000217723
________;2;0;0,000435445
_____;0;1;0,000217723
_______;3;0;0,000653168
_______;0;1;0,000217723
__________;0;1;0,000217723
____________;0;1;0,000217723
__________;0;1;0,000217723
______;0;1;0,000217723
________;2;1;0,000653168
___________;0;1;0,000217723
_________;0;1;0,000217723
________;1;0;0,000217723
_______;1;0;0,000217723
______;8;0;0,001741781
______;1;2;0,000653168
________;0;1;0,000217723
_______;0;2;0,000435445
________;1;0;0,000217723
____________;1;0;0,000217723
___;10;0;0,002177226
_____;0;1;0,000217723
_____;0;1;0,000217723
_______;0;1;0,000217723
_______;0;1;0,000217723
______;0;1;0,000217723
______;0;1;0,000217723
________;0;1;0,000217723
________;1;0;0,000217723
_____;1;0;0,000217723
_____;1;0;0,000217723
___;15;8;0,00500762
___;8;0;0,001741781
___-____;0;2;0,000435445
______;1;0;0,000217723
_____;1;1;0,000435445
____;1;1;0,000435445
____;3;1;0,00087089
_____;0;1;0,000217723
_________;0;2;0,000435445
_____;1;0;0,000217723
_____________;0;1;0,000217723
____;1;3;0,00087089
_________;1;0;0,000217723
__________;1;0;0,000217723
__________;0;1;0,000217723
___________;2;0;0,000435445
____________;2;0;0,000435445
__________;1;0;0,000217723
___;1;0;0,000217723
_______;1;0;0,000217723
_________;1;0;0,000217723
___;0;1;0,000217723
_____;0;1;0,000217723
____;0;1;0,000217723
_____;0;1;0,000217723
______;0;1;0,000217723
__;15;2;0,003701285
__;15;2;0,003701285
_________;1;0;0,000217723
_____;0;1;0,000217723
________;0;1;0,000217723
_______;0;1;0,000217723
_______;0;1;0,000217723
_________;0;1;0,000217723
______;0;1;0,000217723
________;0;1;0,000217723
_______;1;0;0,000217723
_______;0;1;0,000217723
_______;1;0;0,000217723
